nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BOJONG KULUR,127873,3201022002,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
BOJONG NANGKA,127876,3201022005,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
CIANGSANA,127874,3201022003,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
CICADAS,127878,3201022007,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
CIKEAS UDIK,127879,3201022008,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
GUNUNG PUTRI,127875,3201022004,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
KARANGGAN,127881,3201022010,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
NAGRAK,127880,3201022009,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
TLAJUNG UDIK,127877,3201022006,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
WANAHERANG,127872,3201022001,4,JAWA BARAT,32,BOGOR,3201,GUNUNG PUTRI,320102
