nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
AGRABINTA,129044,320322,3,JAWA BARAT,32,CIANJUR,3203
BOJONGPICUNG,128832,320306,3,JAWA BARAT,32,CIANJUR,3203
CAMPAKA,128952,320315,3,JAWA BARAT,32,CIANJUR,3203
CAMPAKAMULYA,129083,320325,3,JAWA BARAT,32,CIANJUR,3203
CIANJUR,128767,320301,3,JAWA BARAT,32,CIANJUR,3203
CIBEBER,128791,320303,3,JAWA BARAT,32,CIANJUR,3203
CIBINONG,129017,320320,3,JAWA BARAT,32,CIANJUR,3203
CIDAUN,129056,320323,3,JAWA BARAT,32,CIANJUR,3203
CIJATI,129117,320329,3,JAWA BARAT,32,CIANJUR,3203
CIKADU,129089,320326,3,JAWA BARAT,32,CIANJUR,3203
CIKALONGKULON,128910,320312,3,JAWA BARAT,32,CIANJUR,3203
CILAKU,128811,320304,3,JAWA BARAT,32,CIANJUR,3203
CIPANAS,129109,320328,3,JAWA BARAT,32,CIANJUR,3203
CIRANJANG,128822,320305,3,JAWA BARAT,32,CIANJUR,3203
CUGENANG,128893,320311,3,JAWA BARAT,32,CIANJUR,3203
GEKBRONG,129100,320327,3,JAWA BARAT,32,CIANJUR,3203
HAURWANGI,129141,320331,3,JAWA BARAT,32,CIANJUR,3203
KADUPANDAK,128974,320317,3,JAWA BARAT,32,CIANJUR,3203
KARANGTENGAH,128844,320307,3,JAWA BARAT,32,CIANJUR,3203
LELES,129128,320330,3,JAWA BARAT,32,CIANJUR,3203
MANDE,128861,320308,3,JAWA BARAT,32,CIANJUR,3203
NARINGGUL,129071,320324,3,JAWA BARAT,32,CIANJUR,3203
PACET,128885,320310,3,JAWA BARAT,32,CIANJUR,3203
PAGELARAN,128989,320318,3,JAWA BARAT,32,CIANJUR,3203
PASIRKUDA,129150,320332,3,JAWA BARAT,32,CIANJUR,3203
SINDANGBARANG,129032,320321,3,JAWA BARAT,32,CIANJUR,3203
SUKALUYU,128874,320309,3,JAWA BARAT,32,CIANJUR,3203
SUKANAGARA,128941,320314,3,JAWA BARAT,32,CIANJUR,3203
SUKARESMI,128929,320313,3,JAWA BARAT,32,CIANJUR,3203
TAKOKAK,128964,320316,3,JAWA BARAT,32,CIANJUR,3203
TANGGEUNG,129004,320319,3,JAWA BARAT,32,CIANJUR,3203
WARUNGKONDANG,128779,320302,3,JAWA BARAT,32,CIANJUR,3203
