nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35752001,3206222002001,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 002,35752002,3206222002002,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 003,35752003,3206222002003,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 004,35752004,3206222002004,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 005,35752005,3206222002005,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 006,35752006,3206222002006,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 007,35752007,3206222002007,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 008,35752008,3206222002008,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 009,35752009,3206222002009,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 010,35752010,3206222002010,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 011,35752011,3206222002011,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 012,35752012,3206222002012,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 013,35752013,3206222002013,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 014,35752014,3206222002014,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 015,35752015,3206222002015,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 016,35752016,3206222002016,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 017,35752017,3206222002017,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
TPS 018,35752018,3206222002018,5,JAWA BARAT,32,TASIKMALAYA,3206,MANONJAYA,320622,CILANGKAP,3206222002
